base_price,discounted_price,product_name,category,brand,description
"14,95",9.07,Lait corps au miel - 150 ml,Hygiène et beauté,Gravier,"Ce lait corporel au miel nourrit et protège la peau, il convient à un usage familial (hormis les bébés)."
"22,20",14.23,Gel silicium organique - 225 ml,Santé,Vitasil,Gel corporel à usage externe pour les articulations.
"34,00",21.22,Crème nutrition intense - 30 ml,Hygiène et beauté,Logona,"Crème nutrition intense aux baies d'argousier bio et à l'acide hyaluronique. Cette crème nutrition intense aux baies d'argousier bio et à l'acide hyaluronique hydrate et stimule les fonctions d'autoréparation de la peau de jour comme de nuit, pour diminuer visiblement les rides."
"3,00",2.16,[offre limitée] Chocolat éclats de spéculoos - 100g,Epicerie,Belledonne,A déguster seul ou accompagné d'un bon café.
"1,60",1.18,Purée pomme dès 6 mois - 100g,Bébé et enfant,Boulette et Gros Lapin,"Petit pot de pomme, à déguster à partir de 6 mois fait avec amour par un maraîcher aveyronnais."
"39,99",30.82,Miel de manuka - 500 g,Epicerie,Comptoirs et compagnies,"Un miel unique, pour une dégustation inoubliable !"
"14,30",9.99,Huile de baobab - 50 ml,Santé,Laboratoire du Haut Ségala,"Très utilisée pour les peaux très sèches et tiraillées, elle est reconnue pour ses propriétés anti-inflammatoire et anti-allergique."
"14,20",11.10,Teinture aux plantes blond doré - 100 g,Hygiène et beauté,Khadi,"Pour un résultat blond avec de légers reflets dorés fugaces et une brillance intense aux cheveux. N'éclaircit pas les cheveux ! S'applique sur cheveux blonds et/ou blancs, elle couvre les cheveux blancs en une seule application."
"2,30",1.70,Cahier écolier A4 96 pages petits careaux - flamant rose,,Ecodis,Cahier écolier A4 96 pages petits careaux - flamant rose
"3,85",3.30,Cakes aux fruits confits - 180g,Epicerie,Nature et Compagnie,Généreux et fruités.
"16,69",11.27,Crème visage et corps - 150 ml,Bébé et enfant,Bébé Bio,La crème visage et corps Bébé Bio a été a été spécialement formulé pour nourrir et protéger la peau fragile des nourrissons et des jeunes enfants. Cette crème à la texture onctueuse et au parfum naturel doux 100% bio pénètre facilement et ne laisse pas de film gras.
"12,77",8.67,Safran stigmates - 1 g,Epicerie,Cook Arcadie,Stigmates entier de Safran
"19,90",12.32,Couche lavable Pea Cherry - S,Bébé et enfant,P'tits dessous,La couche hybride Petit Pea coloris gris-prune s'utilise avec un insert réutilisable ou à usage unique (à retrouver 
"8,65",5.49,Huile de ricin - 50 ml,Hygiène et beauté,Laboratoire du Haut Ségala,Idéal pour renforcer vos cils et vos ongles !
"3,00",2.16,[offre limitée] Chocolat au lait avec biscuits Croustichoc - 100g,Epicerie,Belledonne,"Idéal pour les gourmands, tablette de chocolat parsemée d'un crumble de biscuits"
"12,00",9.90,Lait de toilette bébé - 500 ml,Bébé et enfant,Alphanova,"Lait de Toilette hydratant: soin cosmétique certifié biologique pour les peaux normales et sèches des bébés. Formule onctueuse d’origine naturelle à l’huile d’amande douce bio et aux extraits de Calendula et de Lys bio.Laisse la peau propre, apaisée et protégée. Usage quotidien - Nettoyage de la peau (fesses, visages,….)"
"6,00",4.20,Canapés briochés - 250g,Epicerie,Cyril Pinabel,"Petits toasts natures, pour ne faire qu'une bouchée, ils seront les compagnons idéaux de vos repas de fêtes et apéritifs conviviaux."
"38,32",27.90,Savon noir lin - 5L,Tout pour la maison,La droguerie écologique,"Le savon noir végétal appelé aussi savon mou est élaboré à partir de potasse et d’un corps gras (huiles végétales de lin, tournesol, colza, olive… )."
